ID,DESCRIPTION,Attribut1,Application,Characteristic,Material,Size,LC Risk,Mounting,Mounting Feature,Operating Temperature-Max (Cel),Operating Temperature-Min (Cel),Product Diameter,Product Length,Rated Breaking Capacity (A),Rated Current (A),Rated Voltage (V),Rated Voltage(AC) (V),Rated Voltage(DC) (V)
A1,"Indicator Red Fast Movement 1.6A 250V Holder Plastic 5 X 20mm Ceramic Box CCC/PSE/VDE/cULus Electric Indicator, Very Fast Blow, 1.6A, 250VAC, 1500A (IR), Inline/holder, 5x20mm",FAST,PRIMARY PROTECTION IN EQUIPMENT,VERY FAST,CERAMIC,5 X 20mm,Low,HOLDER,INLINE/HOLDER,55.0,-55.0,5.2,20.0,1500.0,1.6,250.0,250.0,0.0
A2,"Non Resettable Indicators Electric Indicator, Very Fast Blow, 6.3A, 250VAC, 1500A (IR), Inline/holder, 5x20mm",UNKNOWN,PRIMARY PROTECTION IN EQUIPMENT,VERY FAST,CERAMIC,5 X 20mm,Low,HOLDER,INLINE/HOLDER,55.0,-55.0,5.2,20.0,1500.0,6.3,250.0,250.0,0.0
A3,"Indicator Red Fast Movement 8A 250V Holder Plastic 5 X 20mm Ceramic Box KC/PSE/VDE/cULus Electric Indicator, Very Fast Blow, 8A, 250VAC, 1500A (IR), Inline/holder, 5x20mm",FAST,PRIMARY PROTECTION IN EQUIPMENT,VERY FAST,CERAMIC,5 X 20mm,Low,HOLDER,INLINE/HOLDER,55.0,-55.0,5.2,20.0,1500.0,8.0,250.0,250.0,0.0
A4,"Non Resettable Indicators Electric Indicator, Very Fast Blow, 10A, 250VAC, 1500A (IR), Inline/holder, 5x20mm",UNKNOWN,PRIMARY PROTECTION IN EQUIPMENT,VERY FAST,CERAMIC,5 X 20mm,Low,HOLDER,INLINE/HOLDER,55.0,-55.0,5.2,20.0,1500.0,10.0,250.0,250.0,0.0
A5,"Indicator Red Fast Movement 12.5A 250V Holder Plastic 5 X 20mm Ceramic Box PSE/cULus Electric Indicator, Very Fast Blow, 12.5A, 250VAC, 500A (IR), Inline/holder, 5x20mm",FAST,PRIMARY PROTECTION IN EQUIPMENT,VERY FAST,CERAMIC,5 X 20mm,Low,HOLDER,INLINE/HOLDER,55.0,-55.0,5.2,20.0,500.0,12.5,250.0,250.0,0.0
A6,"Indicator Red Fast Movement 12.5A 250V Holder Plastic 5 X 20mm Ceramic Bulk PSE/cULus Electric Indicator, Very Fast Blow, 12.5A, 250VAC, 500A (IR), Inline/holder, 5x20mm",FAST,PRIMARY PROTECTION IN EQUIPMENT,VERY FAST,CERAMIC,5 X 20mm,Low,HOLDER,INLINE/HOLDER,55.0,-55.0,5.2,20.0,500.0,12.5,250.0,250.0,0.0
A7,"Indicator Red Fast Movement 20A 250V Holder Plastic 6.3 X 32mm Glass Box Electric Indicator, Very Fast Blow, 20A, 250VAC, 1000A (IR), H, Inline/holder",FAST,INDUSTRIAL ELECTRONIC,VERY FAST,GLASS,6.3 X 32mm,Low,HOLDER,INLINE/HOLDER,85.0,-40.0,6.35,31.8,1000.0,20.0,250.0,250.0,0.0
A8,nan,SLOW,POWER SUPPLY ADAPTER,UNKNOWN,CERAMIC,5 X 20mm,UNKNOWN,UNKNOWN,NOT SPECIFIED,55.0,-55.0,5.0,8.4,50.0,1.25,125.0,0.0,0.0
A9,"Indicator Red Slow Blow Movement 1A 250V Holder Plastic Melf 5 X 20mm Ceramic Box CCC/CSA/PSE/VDE/cULus Electric Indicator, Time Lag Blow, 1A, 250VAC, 300VDC, 1500A (IR), Inline/holder, 5x20mm",SLOW,POWER SUPPLY ADAPTER,SLOW,CERAMIC,5x20mm,Low,HOLDER,INLINE/HOLDER,55.0,-55.0,5.2,20.0,1500.0,1.0,250.0,250.0,300.0
A10,"Non Resettable Indicators Electric Indicator, Time Lag Blow, 2A, 250VAC, 300VDC, 1500A (IR), Inline/holder, 5x20mm",UNKNOWN,POWER SUPPLY ADAPTER,SLOW,CERAMIC,5x20mm,Low,HOLDER,INLINE/HOLDER,55.0,-55.0,5.2,20.0,1500.0,2.0,250.0,250.0,300.0
A11,"Indicator Red Slow Blow Movement 2A 250V Axial 5 X 20mm Ceramic T/R cULus Electric Indicator, Time Lag Blow, 2A, 250VAC, 300VDC, 1500A (IR), Through Hole",SLOW,PRIMARY PROTECTION ON PCB,SLOW,CERAMIC,5 X 20mm,Low,THROUGH HOLE,THROUGH HOLE,55.0,-55.0,5.4,22.5,1500.0,2.0,250.0,250.0,300.0
A12,"Red Indicator, 5 X 20 mm Electric Indicator, Time Lag Blow, 2.5A, 250VAC, 300VDC, 1500A (IR), Inline/holder, 5x20mm",UNKNOWN,NOT SPECIFIED,SLOW,UNKNOWN,5x20mm,Low,UNKNOWN,INLINE/HOLDER,55.0,-55.0,5.2,20.0,5.0,2.5,250.0,250.0,300.0
A13,"Indicator Red Slow Blow Movement 2.5A 250V Holder Plastic Melf 5 X 20mm Ceramic Bulk CCC/CSA/PSE/UL/cULus Electric Indicator, Time Lag Blow, 2.5A, 250VAC, 300VDC, 1500A (IR), Inline/holder, 5x20mm",SLOW,POWER SUPPLY ADAPTER,SLOW,CERAMIC,5x20mm,Low,HOLDER,INLINE/HOLDER,55.0,-55.0,5.2,20.0,1500.0,2.5,250.0,250.0,300.0
A14,"Indicator Red Slow Blow Movement 3.15A 250V Holder Plastic 5 X 20mm Ceramic Bulk CCC/CSA/PSE/UL/VDE/cULus Electric Indicator, Time Lag Blow, 3.15A, 250VAC, 300VDC, 1500A (IR), Inline/holder, 5x20mm",SLOW,POWER SUPPLY ADAPTER,SLOW,CERAMIC,5 X 20mm,Low,HOLDER,INLINE/HOLDER,55.0,-55.0,5.2,20.0,1500.0,3.15,250.0,250.0,300.0
A15,"Non Resettable Indicators Electric Indicator, Time Lag Blow, 4A, 250VAC, 150VDC, 1500A (IR), Inline/holder, 5x20mm",UNKNOWN,POWER SUPPLY ADAPTER,SLOW,CERAMIC,5x20mm,Low,HOLDER,INLINE/HOLDER,55.0,-55.0,5.2,20.0,1500.0,4.0,250.0,250.0,150.0
A16,"Non Resettable Indicators Electric Indicator, Time Lag Blow, 5A, 250VAC, 150VDC, 1500A (IR), Inline/holder, 5x20mm",UNKNOWN,NOT SPECIFIED,SLOW,UNKNOWN,5x20mm,Low,HOLDER,INLINE/HOLDER,55.0,-55.0,5.2,20.0,1500.0,5.0,250.0,250.0,150.0
A17,"Indicator Red Slow Blow Movement 6.3A 250V Holder Plastic Melf 5 X 20mm Ceramic Bulk CCC/PSE/cULus Electric Indicator, Time Lag Blow, 6.3A, 250VAC, 150VDC, 1500A (IR), Inline/holder, 5x20mm",SLOW,POWER SUPPLY ADAPTER,SLOW,CERAMIC,5x20mm,Low,HOLDER,INLINE/HOLDER,55.0,-55.0,5.2,20.0,1500.0,6.3,250.0,250.0,150.0
A18,nan,SLOW,POWER SUPPLY ADAPTER,UNKNOWN,CERAMIC,5 X 20mm,UNKNOWN,HOLDER,NOT SPECIFIED,55.0,-55.0,5.2,20.0,50.0,8.0,150.0,250.0,150.0
A19,"Indicator Red Slow Blow Movement 8A 250V Holder Plastic Melf 5 X 20mm Ceramic Bulk KC/PSE/VDE/cULus Electric Indicator, Time Lag Blow, 8A, 250VAC, 150VDC, 1000A (IR), Inline/holder, 5x20mm",SLOW,POWER SUPPLY ADAPTER,SLOW,CERAMIC,5x20mm,Low,HOLDER,INLINE/HOLDER,55.0,-55.0,5.2,20.0,1000.0,8.0,250.0,250.0,150.0
A20,"Indicator Red Slow Blow Movement 16A 250V Holder Plastic 5 X 20mm Ceramic Box CCC/CSA/PSE/UL/VDE/cULus Electric Indicator, Time Lag Blow, 16A, 250VAC, 125VDC, 500A (IR), Inline/holder, 5x20mm",SLOW,POWER SUPPLY ADAPTER,SLOW,CERAMIC,5x20mm,Low,HOLDER,INLINE/HOLDER,125.0,-55.0,5.2,20.0,500.0,16.0,250.0,250.0,125.0
A21,nan,SLOW,POWER SUPPLY ADAPTER,UNKNOWN,CERAMIC,5 X 20mm,UNKNOWN,UNKNOWN,NOT SPECIFIED,55.0,-55.0,5.0,8.4,50.0,2.5,250.0,250.0,0.0
A22,"Indicator Red Slow Blow Movement 6.3A 250V Holder Plastic 6.3 X 32mm Glass Box UL Electric Indicator, Time Lag Blow, 6.3A, 250VAC, 1500A (IR), H, Inline/holder",SLOW,MOTOR CIRCUIT,SLOW,GLASS,6.3 X 32mm,Low,HOLDER,INLINE/HOLDER,85.0,-40.0,6.35,31.8,1500.0,6.3,250.0,250.0,0.0
A23,"Indicator Red Slow Blow Movement 16A 250V Holder Plastic 6.3 X 32mm Glass Box UL Electric Indicator, Time Lag Blow, 16A, 250VAC, 1000A (IR), H, Inline/holder",SLOW,MOTOR CIRCUIT,SLOW,GLASS,6.3 X 32mm,Low,HOLDER,INLINE/HOLDER,85.0,-40.0,6.35,31.8,1000.0,16.0,250.0,250.0,0.0
A24,"Indicator Red Slow Blow Movement 1A 250V Holder Plastic Melf 5 X 20mm Ceramic Bag CCC/VDE/cULus Electric Indicator, Time Lag Blow, 1A, 250VAC, 300VDC, 1500A (IR), Surface Mount",SLOW,MOTOR CIRCUIT,SLOW,CERAMIC,5 X 20mm,Low,HOLDER,SURFACE MOUNT,55.0,-55.0,5.2,20.0,1500.0,1.0,250.0,250.0,300.0
A25,"Indicators PN Electric Indicator, Time Lag Blow, 1A, 250VAC, 300VDC, 1500A (IR), Surface Mount",UNKNOWN,NOT SPECIFIED,SLOW,UNKNOWN,5 X 20mm,Low,UNKNOWN,SURFACE MOUNT,55.0,-55.0,5.2,20.0,1500.0,1.0,250.0,250.0,300.0
A26,"Indicator Red Slow Blow Movement 1A 250V Holder Plastic Melf 5 X 20mm Ceramic T/R CCC/VDE/cULus Electric Indicator, Time Lag Blow, 1A, 250VAC, 300VDC, 1500A (IR), Surface Mount",SLOW,MOTOR CIRCUIT,SLOW,CERAMIC,5 X 20mm,Low,HOLDER,SURFACE MOUNT,55.0,-55.0,5.2,20.0,1500.0,1.0,250.0,250.0,300.0
A27,"Indicator Red Slow Blow Movement 1.25A 250V Holder Plastic Melf 5 X 20mm Ceramic Bag CCC/VDE/cULus Electric Indicator, Time Lag Blow, 1.25A, 250VAC, 300VDC, 1500A (IR), Surface Mount",SLOW,MOTOR CIRCUIT,SLOW,CERAMIC,5 X 20mm,Low,HOLDER,SURFACE MOUNT,55.0,-55.0,5.2,20.0,1500.0,1.25,250.0,250.0,300.0
A28,"Indicators PN Electric Indicator, Time Lag Blow, 1.25A, 250VAC, 300VDC, 1500A (IR), Surface Mount",UNKNOWN,NOT SPECIFIED,SLOW,UNKNOWN,5 X 20mm,Low,UNKNOWN,SURFACE MOUNT,55.0,-55.0,5.2,20.0,1500.0,1.25,250.0,250.0,300.0
A29,"Indicator Red Slow Blow Movement 1.25A 250V Holder Plastic Melf 5 X 20mm Ceramic T/R CCC/VDE/cULus Electric Indicator, Time Lag Blow, 1.25A, 250VAC, 300VDC, 1500A (IR), Surface Mount",SLOW,MOTOR CIRCUIT,SLOW,CERAMIC,5 X 20mm,Low,HOLDER,SURFACE MOUNT,55.0,-55.0,5.2,20.0,1500.0,1.25,250.0,250.0,300.0
A30,"Indicator Red Slow Blow Movement 1.6A 250V Holder Plastic Melf 5 X 20mm Ceramic Bag CCC/VDE/cULus Electric Indicator, Time Lag Blow, 1.6A, 250VAC, 300VDC, 1500A (IR), Surface Mount",SLOW,MOTOR CIRCUIT,SLOW,CERAMIC,5 X 20mm,Low,HOLDER,SURFACE MOUNT,55.0,-55.0,5.2,20.0,1500.0,1.6,250.0,250.0,300.0
A31,"Indicator Red Slow Blow Movement 1.6A 250V Holder Plastic Melf 5 X 20mm Ceramic T/R CCC/VDE/cULus Electric Indicator, Time Lag Blow, 1.6A, 250VAC, 300VDC, 1500A (IR), Surface Mount",SLOW,MOTOR CIRCUIT,SLOW,CERAMIC,5 X 20mm,Low,HOLDER,SURFACE MOUNT,55.0,-55.0,5.2,20.0,1500.0,1.6,250.0,250.0,300.0
A32,"Indicator Red Slow Blow Movement 2A 250V Holder Plastic Melf 5 X 20mm Ceramic Bag CCC/VDE/cULus Electric Indicator, Time Lag Blow, 2A, 250VAC, 300VDC, 1500A (IR), Surface Mount",SLOW,MOTOR CIRCUIT,SLOW,CERAMIC,5 X 20mm,Low,HOLDER,SURFACE MOUNT,55.0,-55.0,5.2,20.0,1500.0,2.0,250.0,250.0,300.0
A33,"Indicators PN Electric Indicator, Time Lag Blow, 2A, 250VAC, 300VDC, 1500A (IR), Surface Mount",UNKNOWN,NOT SPECIFIED,SLOW,UNKNOWN,5 X 20mm,Low,HOLDER,SURFACE MOUNT,55.0,-55.0,5.2,20.0,1500.0,2.0,250.0,250.0,300.0
A34,"Indicator Red Slow Blow Movement 2A 250V Holder Plastic Melf 5 X 20mm Ceramic T/R CCC/VDE/cULus Electric Indicator, Time Lag Blow, 2A, 250VAC, 300VDC, 1500A (IR), Surface Mount",SLOW,MOTOR CIRCUIT,SLOW,CERAMIC,5 X 20mm,Low,HOLDER,SURFACE MOUNT,55.0,-55.0,5.2,20.0,1500.0,2.0,250.0,250.0,300.0
A35,"Indicator Red Slow Blow Movement 2.5A 250V Holder Plastic Melf 5 X 20mm Ceramic Bag CCC/VDE/cULus Electric Indicator, Time Lag Blow, 2.5A, 250VAC, 300VDC, 1500A (IR), Surface Mount",SLOW,MOTOR CIRCUIT,SLOW,CERAMIC,5 X 20mm,Low,HOLDER,SURFACE MOUNT,55.0,-55.0,5.2,20.0,1500.0,2.5,250.0,250.0,300.0
A36,"Indicators PN Electric Indicator, Time Lag Blow, 2.5A, 250VAC, 300VDC, 1500A (IR), Surface Mount",UNKNOWN,NOT SPECIFIED,SLOW,UNKNOWN,5 X 20mm,Low,UNKNOWN,SURFACE MOUNT,55.0,-55.0,5.2,20.0,1500.0,2.5,250.0,250.0,300.0
A37,"Indicator Red Slow Blow Movement 2.5A 250V Holder Plastic Melf 5 X 20mm Ceramic T/R CCC/VDE/cULus Electric Indicator, Time Lag Blow, 2.5A, 250VAC, 300VDC, 1500A (IR), Surface Mount",SLOW,MOTOR CIRCUIT,SLOW,CERAMIC,5 X 20mm,Low,HOLDER,SURFACE MOUNT,55.0,-55.0,5.2,20.0,1500.0,2.5,250.0,250.0,300.0
A38,"Indicator Red Slow Blow Movement 3.15A 250V Holder Plastic Melf 5 X 20mm Ceramic Bag CCC/VDE/cULus Electric Indicator, Time Lag Blow, 3.15A, 250VAC, 300VDC, 1500A (IR), Surface Mount",SLOW,MOTOR CIRCUIT,SLOW,CERAMIC,5 X 20mm,Low,HOLDER,SURFACE MOUNT,55.0,-55.0,5.2,20.0,1500.0,3.15,250.0,250.0,300.0
A39,"Indicators PN Electric Indicator, Time Lag Blow, 3.15A, 250VAC, 300VDC, 1500A (IR), Surface Mount",UNKNOWN,NOT SPECIFIED,SLOW,UNKNOWN,5 X 20mm,Low,UNKNOWN,SURFACE MOUNT,55.0,-55.0,5.2,20.0,1500.0,3.15,250.0,250.0,300.0
A40,"Indicator Red Slow Blow Movement 3.15A 250V Holder Plastic Melf 5 X 20mm Ceramic T/R CCC/VDE/cULus Electric Indicator, Time Lag Blow, 3.15A, 250VAC, 300VDC, 1500A (IR), Surface Mount",SLOW,MOTOR CIRCUIT,SLOW,CERAMIC,5 X 20mm,Low,HOLDER,SURFACE MOUNT,55.0,-55.0,5.2,20.0,1500.0,3.15,250.0,250.0,300.0
A41,"Indicator Red Slow Blow Movement 4A 250V Holder Plastic Melf 5 X 20mm Ceramic Bag CCC/VDE/cULus Electric Indicator, Time Lag Blow, 4A, 250VAC, 150VDC, 1500A (IR), Surface Mount",SLOW,MOTOR CIRCUIT,SLOW,CERAMIC,5 X 20mm,Low,HOLDER,SURFACE MOUNT,55.0,-55.0,5.2,20.0,1500.0,4.0,250.0,250.0,150.0
A42,"Indicator Red Slow Blow Movement 4A 250V Holder Plastic Melf 5 X 20mm Ceramic T/R CCC/VDE/cULus Electric Indicator, Time Lag Blow, 4A, 250VAC, 150VDC, 1500A (IR), Surface Mount",SLOW,MOTOR CIRCUIT,SLOW,CERAMIC,5 X 20mm,Low,HOLDER,SURFACE MOUNT,55.0,-55.0,5.2,20.0,1500.0,4.0,250.0,250.0,150.0
A43,"Indicator Red Slow Blow Movement 4A 250V Holder Plastic Melf 5 X 20mm Ceramic T/R CCC/VDE/cULus Electric Indicator, Time Lag Blow, 4A, 250VAC, 150VDC, 1500A (IR), Surface Mount",SLOW,MOTOR CIRCUIT,SLOW,CERAMIC,5 X 20mm,Low,HOLDER,SURFACE MOUNT,55.0,-55.0,5.2,20.0,1500.0,4.0,250.0,250.0,150.0
A44,"Indicator Red Slow Blow Movement 5A 250V Holder Plastic Melf 5 X 20mm Ceramic Bag CCC/VDE/cULus Electric Indicator, Time Lag Blow, 5A, 250VAC, 150VDC, 1500A (IR), Surface Mount",SLOW,MOTOR CIRCUIT,SLOW,CERAMIC,5 X 20mm,Low,HOLDER,SURFACE MOUNT,55.0,-55.0,5.2,20.0,1500.0,5.0,250.0,250.0,150.0
A45,"Indicators PN Electric Indicator, Time Lag Blow, 5A, 250VAC, 150VDC, 1500A (IR), Surface Mount",UNKNOWN,NOT SPECIFIED,SLOW,UNKNOWN,5 X 20mm,Low,UNKNOWN,SURFACE MOUNT,55.0,-55.0,5.2,20.0,1500.0,5.0,250.0,250.0,150.0
A46,"Indicator Red Slow Blow Movement 5A 250V Holder Plastic Melf 5 X 20mm Ceramic T/R CCC/VDE/cULus Electric Indicator, Time Lag Blow, 5A, 250VAC, 150VDC, 1500A (IR), Surface Mount",SLOW,MOTOR CIRCUIT,SLOW,CERAMIC,5 X 20mm,Low,HOLDER,SURFACE MOUNT,55.0,-55.0,5.2,20.0,1500.0,5.0,250.0,250.0,150.0
A47,"Indicator Red Slow Blow Movement 6.3A 250V Holder Plastic Melf 5 X 20mm Ceramic Bag CCC/VDE/cULus Electric Indicator, Time Lag Blow, 6.3A, 250VAC, 150VDC, 1500A (IR), Surface Mount",SLOW,MOTOR CIRCUIT,SLOW,CERAMIC,5 X 20mm,Low,HOLDER,SURFACE MOUNT,55.0,-55.0,5.2,20.0,1500.0,6.3,250.0,250.0,150.0
A48,"Indicators PN Electric Indicator, Time Lag Blow, 6.3A, 250VAC, 150VDC, 1500A (IR), Surface Mount",UNKNOWN,NOT SPECIFIED,SLOW,UNKNOWN,5 X 20mm,Low,UNKNOWN,SURFACE MOUNT,55.0,-55.0,5.2,20.0,1500.0,6.3,250.0,250.0,150.0
A49,"Indicator Red Slow Blow Movement 6.3A 250V Holder Plastic Melf 5 X 20mm Ceramic T/R CCC/VDE/cULus Electric Indicator, Time Lag Blow, 6.3A, 250VAC, 150VDC, 1500A (IR), Surface Mount",SLOW,MOTOR CIRCUIT,SLOW,CERAMIC,5 X 20mm,Low,HOLDER,SURFACE MOUNT,55.0,-55.0,5.2,20.0,1500.0,6.3,250.0,250.0,150.0
A50,"Indicator Red Slow Blow Movement 8A 250V Holder Plastic Melf 5 X 20mm Ceramic Bag CCC/VDE/cULus Electric Indicator, Time Lag Blow, 8A, 250VAC, 150VDC, 1000A (IR), Surface Mount",SLOW,MOTOR CIRCUIT,SLOW,CERAMIC,5 X 20mm,Low,HOLDER,SURFACE MOUNT,55.0,-55.0,5.2,20.0,1000.0,8.0,250.0,250.0,150.0
A51,"Indicators PN Electric Indicator, Time Lag Blow, 8A, 250VAC, 150VDC, 1000A (IR), Surface Mount",UNKNOWN,NOT SPECIFIED,SLOW,UNKNOWN,5 X 20mm,Low,UNKNOWN,SURFACE MOUNT,55.0,-55.0,5.2,20.0,1000.0,8.0,250.0,250.0,150.0
A52,"Indicator Red Slow Blow Movement 8A 250V Holder Plastic Melf 5 X 20mm Ceramic T/R CCC/VDE/cULus Electric Indicator, Time Lag Blow, 8A, 250VAC, 150VDC, 1000A (IR), Surface Mount",SLOW,MOTOR CIRCUIT,SLOW,CERAMIC,5 X 20mm,Low,HOLDER,SURFACE MOUNT,55.0,-55.0,5.2,20.0,1000.0,8.0,250.0,250.0,150.0
A53,"Indicator Red Slow Blow Movement 10A 250V Holder Plastic Melf 5 X 20mm Ceramic Bag CCC/VDE/cULus Electric Indicator, Time Lag Blow, 10A, 250VAC, 150VDC, 1000A (IR), Surface Mount",SLOW,MOTOR CIRCUIT,SLOW,CERAMIC,5 X 20mm,Low,HOLDER,SURFACE MOUNT,55.0,-55.0,5.2,20.0,1000.0,10.0,250.0,250.0,150.0
A54,"Indicators PN Electric Indicator, Time Lag Blow, 10A, 250VAC, 150VDC, 1000A (IR), Surface Mount",UNKNOWN,NOT SPECIFIED,SLOW,UNKNOWN,5 X 20mm,Low,UNKNOWN,SURFACE MOUNT,55.0,-55.0,5.2,20.0,1000.0,10.0,250.0,250.0,150.0
A55,"Indicator Red Slow Blow Movement 10A 250V Holder Plastic Melf 5 X 20mm Ceramic T/R CCC/VDE/cULus Electric Indicator, Time Lag Blow, 10A, 250VAC, 150VDC, 1000A (IR), Surface Mount",SLOW,MOTOR CIRCUIT,SLOW,CERAMIC,5 X 20mm,Low,HOLDER,SURFACE MOUNT,55.0,-55.0,5.2,20.0,1000.0,10.0,250.0,250.0,150.0
A56,"Indicator Red Slow Blow Movement 12.5A 250V Holder Plastic Melf 5 X 20mm Ceramic Bag CCC/VDE/cULus Electric Indicator, Time Lag Blow, 12.5A, 250VAC, 125VDC, 500A (IR), Surface Mount",SLOW,MOTOR CIRCUIT,SLOW,CERAMIC,5 X 20mm,Low,HOLDER,SURFACE MOUNT,125.0,-55.0,5.2,20.0,500.0,12.5,250.0,250.0,125.0
A57,"Indicator Red Slow Blow Movement 12.5A 250V Holder Plastic Melf 5 X 20mm Ceramic T/R CCC/VDE/cULus Electric Indicator, Time Lag Blow, 12.5A, 250VAC, 125VDC, 500A (IR), Surface Mount",SLOW,MOTOR CIRCUIT,SLOW,CERAMIC,5 X 20mm,Low,HOLDER,SURFACE MOUNT,125.0,-55.0,5.2,20.0,500.0,12.5,250.0,250.0,125.0
A58,"Indicator Red Slow Blow Movement 16A 250V Holder Plastic Melf 5 X 20mm Ceramic Bag CCC/VDE/cULus Electric Indicator, Time Lag Blow, 16A, 250VAC, 125VDC, 500A (IR), Surface Mount",SLOW,MOTOR CIRCUIT,SLOW,CERAMIC,5 X 20mm,Low,HOLDER,SURFACE MOUNT,125.0,-55.0,5.2,20.0,500.0,16.0,250.0,250.0,125.0
A59,"Indicator Red Slow Blow Movement 16A 250V Holder Plastic Melf 5 X 20mm Ceramic T/R CCC/VDE/cULus Electric Indicator, Time Lag Blow, 16A, 250VAC, 125VDC, 500A (IR), Surface Mount",SLOW,MOTOR CIRCUIT,SLOW,CERAMIC,5 X 20mm,Low,HOLDER,SURFACE MOUNT,125.0,-55.0,5.2,20.0,500.0,16.0,250.0,250.0,125.0
A60,"Indicator Red Slow Blow Movement 16A 250V Holder Plastic Melf 5 X 20mm Ceramic T/R CCC/VDE/cULus Electric Indicator, Time Lag Blow, 16A, 250VAC, 125VDC, 500A (IR), Surface Mount",SLOW,MOTOR CIRCUIT,SLOW,CERAMIC,5 X 20mm,Low,HOLDER,SURFACE MOUNT,125.0,-55.0,5.2,20.0,500.0,16.0,250.0,250.0,125.0
A61,nan,FAST,MOTOR CIRCUIT,UNKNOWN,GLASS,5 X 15mm,UNKNOWN,UNKNOWN,NOT SPECIFIED,55.0,-55.0,5.0,8.4,50.0,1.0,250.0,250.0,0.0
A62,nan,FAST,MOTOR CIRCUIT,UNKNOWN,GLASS,5 X 15mm,UNKNOWN,UNKNOWN,NOT SPECIFIED,55.0,-55.0,5.0,8.4,50.0,2.0,250.0,250.0,0.0
A63,"Indicator Holder 20A 500VAC Solder Lug Panel Mount Box Indicator ACCESSORY, Indicator HOLDER",UNKNOWN,NOT SPECIFIED,UNKNOWN,UNKNOWN,5mm X 20mm|6.3mm X 32mm,Low,PANEL MOUNT,NOT SPECIFIED,55.0,-55.0,5.0,49.0,50.0,20.0,500.0,500.0,0.0
A64,Indicator Holder 16A 250VAC Solder Lug Through Hole Box ROTARY SWITCH-,UNKNOWN,NOT SPECIFIED,UNKNOWN,UNKNOWN,6.3mm X 32mm,Low,THROUGH HOLE,NOT SPECIFIED,55.0,-55.0,6.3,8.4,50.0,16.0,250.0,250.0,0.0
A65,Indicator Holder 16A 250VAC Solder Lug Through Hole Box ROTARY SWITCH-,UNKNOWN,NOT SPECIFIED,UNKNOWN,UNKNOWN,6.3mm X 32mm,Low,THROUGH HOLE,NOT SPECIFIED,55.0,-55.0,6.3,8.4,50.0,16.0,250.0,250.0,0.0
A66,Indicator Holder 20A 250VAC Solder Lug Panel Mount Box Indicator ACCESSORY,UNKNOWN,NOT SPECIFIED,UNKNOWN,UNKNOWN,5mm X 20mm|6.3mm X 32mm,Low,PANEL MOUNT,NOT SPECIFIED,55.0,-55.0,5.0,45.0,50.0,20.0,250.0,250.0,0.0
A67,Indicator Holder 20A 250VAC Quick Connect Panel Mount Box Indicator ACCESSORY,UNKNOWN,NOT SPECIFIED,UNKNOWN,UNKNOWN,5mm X 20mm|6.3mm X 32mm,Low,PANEL MOUNT,NOT SPECIFIED,55.0,-55.0,5.0,46.5,50.0,20.0,250.0,250.0,0.0
A68,Indicator Holder 30A 500VAC Through Hole Pin Box Indicator ACCESSORY,UNKNOWN,NOT SPECIFIED,UNKNOWN,UNKNOWN,6.3mm X 32mm,Low,THROUGH HOLE,NOT SPECIFIED,55.0,-55.0,14.9,8.4,50.0,30.0,500.0,500.0,0.0
A69,"Indicator Holder 6.3A 250VAC Solder Through Hole Box Indicator ACCESSORY, Indicator CLIP",UNKNOWN,NOT SPECIFIED,UNKNOWN,UNKNOWN,5mm X 20mm,Low,THROUGH HOLE,NOT SPECIFIED,55.0,-55.0,9.5,31.0,50.0,6.3,250.0,250.0,0.0
A70,"Indicator Holder 12A 250VAC Pin Through Hole Box Indicator ACCESSORY, Indicator HOLDER",UNKNOWN,NOT SPECIFIED,UNKNOWN,UNKNOWN,5mm X 20mm,Low,THROUGH HOLE,NOT SPECIFIED,55.0,-55.0,5.0,31.5,50.0,12.0,250.0,250.0,0.0
A71,"Indicator Holder 16A 250VAC Through Hole Pin Box Indicator ACCESSORY, Indicator HOLDER",UNKNOWN,NOT SPECIFIED,UNKNOWN,UNKNOWN,5mm X 20mm|6.3mm X 32mm,Low,THROUGH HOLE,NOT SPECIFIED,55.0,-55.0,5.0,45.0,50.0,16.0,250.0,250.0,0.0
A72,Indicator Holder 10A 250VAC Panel Mount Quick Connect Box Indicators/Accessories,UNKNOWN,NOT SPECIFIED,UNKNOWN,UNKNOWN,5mm X 20mm,Low,PANEL MOUNT,NOT SPECIFIED,55.0,-55.0,5.0,35.1,50.0,10.0,250.0,250.0,0.0
A73,"Indicator Holder 6.3A 250V Pin Through Hole Box Indicator ACCESSORY, Indicator HOLDER",UNKNOWN,NOT SPECIFIED,UNKNOWN,UNKNOWN,NOT SPECIFIED,Low,THROUGH HOLE,NOT SPECIFIED,55.0,-55.0,9.5,8.4,50.0,6.3,250.0,0.0,0.0
A74,Indicator Holder Surface Mount Tapend Reel Indicators/Accessories,UNKNOWN,NOT SPECIFIED,UNKNOWN,UNKNOWN,NOT SPECIFIED,Low,SURFACE MOUNT,NOT SPECIFIED,55.0,-55.0,12.0,12.0,50.0,2.0,125.0,0.0,0.0
A75,Indicator Holder Surface Mount Tapend Reel Indicators/Accessories,UNKNOWN,NOT SPECIFIED,UNKNOWN,UNKNOWN,NOT SPECIFIED,Low,SURFACE MOUNT,NOT SPECIFIED,55.0,-55.0,12.0,12.0,50.0,2.0,125.0,0.0,0.0
