ID,DESCRIPTION,Attribut1,Application,Characteristic,Material,Size,LC Risk,Mounting,Mounting Feature,Operating Temperature-Max (Cel),Operating Temperature-Min (Cel),Product Diameter,Product Length,Rated Breaking Capacity (A),Rated Current (A),Rated Voltage (V),Rated Voltage(AC) (V),Rated Voltage(DC) (V)
A545,nan,VERY FAST,MOTOR CIRCUIT,UNKNOWN,EPOXY,3.18 X 1.52 X 1.14mm,UNKNOWN,SURFACE MOUNT,NOT SPECIFIED,55.0,-55.0,6.1,3.18,50.0,3.0,32.0,32.0,32.0
A546,Indicator Chip Very Fast Movement 3A 32V SMD Solder Pad 1206 Epoxy T/R CSA/UL,VERY FAST,MOTOR CIRCUIT,UNKNOWN,EPOXY,3.18 X 1.52 X 1.14mm,High,SURFACE MOUNT,NOT SPECIFIED,55.0,-55.0,6.1,3.18,50.0,3.0,32.0,32.0,32.0
A547,nan,VERY FAST,MOTOR CIRCUIT,UNKNOWN,EPOXY,3.18 X 1.52 X 1.14mm,UNKNOWN,SURFACE MOUNT,NOT SPECIFIED,55.0,-55.0,6.1,3.18,50.0,4.0,24.0,24.0,24.0
A548,Indicator Chip Very Fast Movement 4A 24V SMD Solder Pad 1206 Epoxy T/R CSA/UL,VERY FAST,MOTOR CIRCUIT,UNKNOWN,EPOXY,3.18 X 1.52 X 1.14mm,High,SURFACE MOUNT,NOT SPECIFIED,55.0,-55.0,6.1,3.18,50.0,4.0,24.0,24.0,24.0
A549,nan,VERY FAST,MOTOR CIRCUIT,UNKNOWN,EPOXY,3.18 X 1.52 X 1.14mm,UNKNOWN,SURFACE MOUNT,NOT SPECIFIED,55.0,-55.0,6.1,3.18,50.0,5.0,24.0,24.0,24.0
A550,nan,VERY FAST,BATTERY PACK,UNKNOWN,EPOXY,3.18 X 1.52 X 1.14mm,UNKNOWN,SURFACE MOUNT,NOT SPECIFIED,55.0,-55.0,6.1,3.18,50.0,7.0,24.0,24.0,24.0
A551,Indicator Chip Very Fast Movement 7A 24V SMD Solder Pad 1206 Epoxy T/R CSA/UL,VERY FAST,BATTERY PACK,UNKNOWN,EPOXY,3.18 X 1.52 X 1.14mm,High,SURFACE MOUNT,NOT SPECIFIED,55.0,-55.0,6.1,3.18,50.0,7.0,24.0,24.0,24.0
A552,"Indicator Chip Very Fast Movement 7A 24V SMD Solder Pad 1206 Epoxy T/R CSA/UL Electric Indicator, Very Fast Blow, 7A, 24VAC, 24VDC, 35A (IR), Surface Mount, 1206",VERY FAST,BATTERY PACK,VERY FAST,EPOXY,1206,Low,SURFACE MOUNT,SURFACE MOUNT,55.0,-55.0,6.1,3.18,35.0,7.0,24.0,24.0,24.0
A553,"Indicator Chip Very Fast Movement 7A 24V SMD Solder Pad 1206 Epoxy T/R CSA/UL Electric Indicator, Very Fast Blow, 7A, 24VAC, 24VDC, 35A (IR), Surface Mount, 1206",VERY FAST,BATTERY PACK,VERY FAST,EPOXY,3.18 X 1.52 X 1.14mm,Low,SURFACE MOUNT,SURFACE MOUNT,55.0,-55.0,6.1,3.18,35.0,7.0,24.0,24.0,7.0
A554,nan,VERY FAST,MOTOR CIRCUIT,UNKNOWN,EPOXY,3.18 X 1.52 X 1.14mm,UNKNOWN,SURFACE MOUNT,NOT SPECIFIED,55.0,-55.0,6.1,3.18,50.0,1.5,63.0,63.0,63.0
A555,Indicator Chip Very Fast Movement 1.5A 63V SMD Solder Pad 1206 Epoxy T/R CSA/UL,VERY FAST,MOTOR CIRCUIT,UNKNOWN,EPOXY,3.18 X 1.52 X 1.14mm,High,SURFACE MOUNT,NOT SPECIFIED,55.0,-55.0,6.1,3.18,50.0,1.5,63.0,63.0,63.0
A556,nan,VERY FAST,MOTOR CIRCUIT,UNKNOWN,EPOXY,3.18 X 1.52 X 1.14mm,UNKNOWN,SURFACE MOUNT,NOT SPECIFIED,55.0,-55.0,6.1,3.18,50.0,2.5,32.0,32.0,32.0
A557,Indicator Chip Very Fast Movement 2.5A 32V SMD Solder Pad 1206 Epoxy T/R CSA/UL,VERY FAST,MOTOR CIRCUIT,UNKNOWN,EPOXY,3.18 X 1.52 X 1.14mm,High,SURFACE MOUNT,NOT SPECIFIED,55.0,-55.0,6.1,3.18,50.0,2.5,32.0,32.0,32.0
A558,nan,VERY FAST,MOTOR CIRCUIT,UNKNOWN,EPOXY,3.18 X 1.52 X 1.14mm,UNKNOWN,SURFACE MOUNT,NOT SPECIFIED,55.0,-55.0,6.1,3.18,50.0,1.25,63.0,63.0,63.0
A559,Indicator Chip Very Fast Movement 0.125A 125V SMD Solder Pad 1206 Epoxy T/R CSA/UL,VERY FAST,MOTOR CIRCUIT,UNKNOWN,EPOXY,3.18 X 1.52 X 1.14mm,High,SURFACE MOUNT,NOT SPECIFIED,55.0,-55.0,6.1,3.18,50.0,1.25,63.0,63.0,63.0
A560,nan,VERY FAST,MOTOR CIRCUIT,UNKNOWN,EPOXY,3.18 X 1.52 X 1.14mm,UNKNOWN,SURFACE MOUNT,NOT SPECIFIED,55.0,-55.0,6.1,3.18,50.0,1.75,63.0,63.0,63.0
