ID,DESCRIPTION,Attribut1,Application,Characteristic,Material,Size,LC Risk,Mounting,Mounting Feature,Operating Temperature-Max (Cel),Operating Temperature-Min (Cel),Product Diameter,Product Length,Rated Breaking Capacity (A),Rated Current (A),Rated Voltage (V),Rated Voltage(AC) (V),Rated Voltage(DC) (V),search_context
A906,"Indicator Chip Very Fast Movement 6.3A 125V SMD Solder Pad 2410 Ceramic T/R CE/CSA/PSE/UL Electric Indicator, Very Fast Blow, 6.3A, 125VAC, 125VDC, 50A (IR), Surface Mount, NANO",VERY FAST,AUTOMOTIVE,VERY FAST,CERAMIC,NANO,Low,SURFACE MOUNT,SURFACE MOUNT,125.0,-55.0,6.1,6.1,50.0,6.3,125.0,125.0,125.0,"Industrial Part: Indicator Chip Very Fast Movement 6.3A 125V SMD Solder Pad 2410 Ceramic T/R CE/CSA/PSE/UL Electric Indicator, Very Fast Blow, 6.3A, 125VAC, 125VDC, 50A (IR), Surface Mount, NANO. Rated Current: 6.3A. Voltage: 125.0V. Material: CERAMIC. Physical Size: 6.1mm x 6.1mm."
A907,"Indicator Chip Very Fast Movement 6.3A 125V SMD Solder Pad 2410 Ceramic T/R CSA/PSE/UL Electric Indicator, Very Fast Blow, 6.3A, 50A (IR), NANO",VERY FAST,AUTOMOTIVE,VERY FAST,CERAMIC,6.1 X 2.69mm,Low,SURFACE MOUNT,NOT SPECIFIED,125.0,-55.0,6.1,6.1,50.0,6.3,125.0,125.0,125.0,"Industrial Part: Indicator Chip Very Fast Movement 6.3A 125V SMD Solder Pad 2410 Ceramic T/R CSA/PSE/UL Electric Indicator, Very Fast Blow, 6.3A, 50A (IR), NANO. Rated Current: 6.3A. Voltage: 125.0V. Material: CERAMIC. Physical Size: 6.1mm x 6.1mm."
A908,"Indicator Chip Very Fast Movement 6.3A 125V SMD Solder Pad 2410 Ceramic T/R CE/CSA/PSE/UL Electric Indicator, Very Fast Blow, 6.3A, 125VAC, 125VDC, 50A (IR), Surface Mount, NANO",VERY FAST,AUTOMOTIVE,VERY FAST,CERAMIC,NANO,Low,SURFACE MOUNT,SURFACE MOUNT,125.0,-55.0,6.1,6.1,50.0,6.3,125.0,125.0,125.0,"Industrial Part: Indicator Chip Very Fast Movement 6.3A 125V SMD Solder Pad 2410 Ceramic T/R CE/CSA/PSE/UL Electric Indicator, Very Fast Blow, 6.3A, 125VAC, 125VDC, 50A (IR), Surface Mount, NANO. Rated Current: 6.3A. Voltage: 125.0V. Material: CERAMIC. Physical Size: 6.1mm x 6.1mm."
A909,,VERY FAST,AUTOMOTIVE,UNKNOWN,CERAMIC,6.1 X 2.69mm,UNKNOWN,SURFACE MOUNT,NOT SPECIFIED,55.0,-55.0,6.1,6.1,50.0,6.3,125.0,125.0,125.0,Industrial Part: nan. Rated Current: 6.3A. Voltage: 125.0V. Material: CERAMIC. Physical Size: 6.1mm x 6.1mm.
A910,"Indicator Chip Very Fast Movement 0.08A 125V SMD Solder Pad 2410 Ceramic T/R CE/CSA/PSE/UL Electric Indicator, Very Fast Blow, 0.08A, 125VAC, 125VDC, 50A (IR), Surface Mount, NANO",VERY FAST,AUTOMOTIVE,VERY FAST,CERAMIC,6.1 X 2.69mm,High,SURFACE MOUNT,SURFACE MOUNT,125.0,-55.0,6.1,6.1,50.0,0.08,125.0,125.0,0.08,"Industrial Part: Indicator Chip Very Fast Movement 0.08A 125V SMD Solder Pad 2410 Ceramic T/R CE/CSA/PSE/UL Electric Indicator, Very Fast Blow, 0.08A, 125VAC, 125VDC, 50A (IR), Surface Mount, NANO. Rated Current: 0.08A. Voltage: 125.0V. Material: CERAMIC. Physical Size: 6.1mm x 6.1mm."
A911,"Indicator Chip Very Fast Movement 0.08A 125V SMD Solder Pad 2410 Ceramic T/R CE/CSA/PSE/UL Electric Indicator, Very Fast Blow, 0.08A, 125VAC, 125VDC, 50A (IR), Surface Mount, NANO",VERY FAST,AUTOMOTIVE,VERY FAST,CERAMIC,NANO,Low,SURFACE MOUNT,SURFACE MOUNT,125.0,-55.0,6.1,6.1,50.0,0.08,125.0,125.0,125.0,"Industrial Part: Indicator Chip Very Fast Movement 0.08A 125V SMD Solder Pad 2410 Ceramic T/R CE/CSA/PSE/UL Electric Indicator, Very Fast Blow, 0.08A, 125VAC, 125VDC, 50A (IR), Surface Mount, NANO. Rated Current: 0.08A. Voltage: 125.0V. Material: CERAMIC. Physical Size: 6.1mm x 6.1mm."
A912,"Indicator Chip Very Fast Movement 0.08A 125V SMD Solder Pad 2410 Ceramic T/R CE/CSA/PSE/UL Electric Indicator, Very Fast Blow, 0.08A, 125VAC, 125VDC, 50A (IR), Surface Mount, NANO",VERY FAST,AUTOMOTIVE,VERY FAST,CERAMIC,NANO,Low,SURFACE MOUNT,SURFACE MOUNT,125.0,-55.0,6.1,6.1,50.0,0.08,125.0,125.0,125.0,"Industrial Part: Indicator Chip Very Fast Movement 0.08A 125V SMD Solder Pad 2410 Ceramic T/R CE/CSA/PSE/UL Electric Indicator, Very Fast Blow, 0.08A, 125VAC, 125VDC, 50A (IR), Surface Mount, NANO. Rated Current: 0.08A. Voltage: 125.0V. Material: CERAMIC. Physical Size: 6.1mm x 6.1mm."
A913,,VERY FAST,AUTOMOTIVE,UNKNOWN,CERAMIC,6.1 X 2.69mm,UNKNOWN,SURFACE MOUNT,NOT SPECIFIED,55.0,-55.0,6.1,6.1,50.0,0.1,125.0,125.0,125.0,Industrial Part: nan. Rated Current: 0.1A. Voltage: 125.0V. Material: CERAMIC. Physical Size: 6.1mm x 6.1mm.
A914,"Indicator Chip Very Fast Movement 0.1A 125V SMD Solder Pad 2410 Ceramic T/R CE/CSA/PSE/UL Electric Indicator, Very Fast Blow, 0.1A, 125VAC, 125VDC, 50A (IR), Surface Mount, NANO",VERY FAST,AUTOMOTIVE,VERY FAST,CERAMIC,6.1 X 2.69mm,High,SURFACE MOUNT,SURFACE MOUNT,125.0,-55.0,6.1,6.1,50.0,0.1,125.0,125.0,0.1,"Industrial Part: Indicator Chip Very Fast Movement 0.1A 125V SMD Solder Pad 2410 Ceramic T/R CE/CSA/PSE/UL Electric Indicator, Very Fast Blow, 0.1A, 125VAC, 125VDC, 50A (IR), Surface Mount, NANO. Rated Current: 0.1A. Voltage: 125.0V. Material: CERAMIC. Physical Size: 6.1mm x 6.1mm."
A915,"Indicator Chip Very Fast Movement 0.1A 125V SMD Solder Pad 2410 Ceramic T/R CE/CSA/PSE/UL Electric Indicator, Very Fast Blow, 0.1A, 125VAC, 125VDC, 50A (IR), Surface Mount, NANO",VERY FAST,AUTOMOTIVE,VERY FAST,CERAMIC,NANO,Low,SURFACE MOUNT,SURFACE MOUNT,125.0,-55.0,6.1,6.1,50.0,0.1,125.0,125.0,125.0,"Industrial Part: Indicator Chip Very Fast Movement 0.1A 125V SMD Solder Pad 2410 Ceramic T/R CE/CSA/PSE/UL Electric Indicator, Very Fast Blow, 0.1A, 125VAC, 125VDC, 50A (IR), Surface Mount, NANO. Rated Current: 0.1A. Voltage: 125.0V. Material: CERAMIC. Physical Size: 6.1mm x 6.1mm."
A916,"Indicator Chip Very Fast Movement 0.1A 125V SMD Solder Pad 2410 Ceramic T/R CE/CSA/PSE/UL Electric Indicator, Very Fast Blow, 0.1A, 125VAC, 125VDC, 50A (IR), Surface Mount, NANO",VERY FAST,AUTOMOTIVE,VERY FAST,CERAMIC,NANO,Low,SURFACE MOUNT,SURFACE MOUNT,125.0,-55.0,6.1,6.1,50.0,0.1,125.0,125.0,125.0,"Industrial Part: Indicator Chip Very Fast Movement 0.1A 125V SMD Solder Pad 2410 Ceramic T/R CE/CSA/PSE/UL Electric Indicator, Very Fast Blow, 0.1A, 125VAC, 125VDC, 50A (IR), Surface Mount, NANO. Rated Current: 0.1A. Voltage: 125.0V. Material: CERAMIC. Physical Size: 6.1mm x 6.1mm."
A917,"Indicator Chip Very Fast Movement 0.125A 125V SMD Solder Pad 2410 Ceramic T/R CE/CSA/PSE/UL Electric Indicator, Very Fast Blow, 0.125A, 125VAC, 125VDC, 50A (IR), Surface Mount, NANO",VERY FAST,AUTOMOTIVE,VERY FAST,CERAMIC,6.1 X 2.69mm,High,SURFACE MOUNT,SURFACE MOUNT,125.0,-55.0,6.1,6.1,50.0,1.25,125.0,125.0,0.125,"Industrial Part: Indicator Chip Very Fast Movement 0.125A 125V SMD Solder Pad 2410 Ceramic T/R CE/CSA/PSE/UL Electric Indicator, Very Fast Blow, 0.125A, 125VAC, 125VDC, 50A (IR), Surface Mount, NANO. Rated Current: 1.25A. Voltage: 125.0V. Material: CERAMIC. Physical Size: 6.1mm x 6.1mm."
